id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,availability_365
479263,Mini Loft Williamsburg Bkln-Bedford,2373905,Jaime,Brooklyn,Williamsburg,40.7181991,-73.95763398,Entire home/apt,145,30,33,6/30/2018,322
479867,Williamsburg 2b apartment with deck,2377104,Hannah,Brooklyn,Williamsburg,40.71739372,-73.95471839,Entire home/apt,195,1,292,9/30/2018,246
481022,Super Cute Junior 1BR in LES!!,2382189,Candice,Manhattan,Lower East Side,40.71949619,-73.98022397,Entire home/apt,125,1,211,9/17/2018,267
482365,GREAT BRAND NEW 1 BED APT*TIMES SQ,914838,Lior,Manhattan,Hell's Kitchen,40.75635601,-73.99390213,Entire home/apt,80,30,32,1/31/2017,365
482765,Beautiful Brooklyn Brownstone,2389885,Megan,Brooklyn,Fort Greene,40.68834495,-73.97875263,Private room,100,2,87,9/28/2018,113
482969,"Stunning, Enormous, Pre-War 1 BR Near All!!",2390919,Thor,Queens,Astoria,40.7683311,-73.92354723,Entire home/apt,150,10,15,8/3/2018,336
483414,Best double Room all included wifi,1539749,Edward,Brooklyn,Bedford-Stuyvesant,40.68585849,-73.94837359,Private room,55,2,17,8/26/2018,244
483485,Downtown Full Floor Loft,1492619,Wallace,Manhattan,Civic Center,40.71163717,-74.00774464,Entire home/apt,325,2,267,9/29/2018,171
483505,Perfect & Stylish Williamsburg Apt,2393537,Jodi,Brooklyn,Williamsburg,40.70742704,-73.9672846,Entire home/apt,142,7,55,9/15/2018,294
484312,Loft-Like Park Slope 3bdr Duplex,2306962,Hana,Brooklyn,Windsor Terrace,40.6585399,-73.98384497,Entire home/apt,300,2,20,8/26/2018,15
484645,Cozy and Inviting Sublet Studio!,2398866,Asha,Brooklyn,Crown Heights,40.67731569,-73.9471987,Entire home/apt,85,3,92,9/22/2018,259
485026,Sunny Apt in Brooklyn-Close to Manhattan,2400932,Keely,Brooklyn,Gowanus,40.67858307,-73.98537418,Private room,125,3,17,6/30/2014,244
488083,Nice apartment with a deck!,619154,Keith,Brooklyn,Sunset Park,40.66157618,-73.98954179,Entire home/apt,92,2,38,9/16/2018,0
488309,"MODERN, QUIET PRIVATE APT.",1874001,Carol,Manhattan,West Village,40.7315761,-74.00604576,Entire home/apt,175,30,41,8/28/2018,304
489018,Lovely Central East Village 4p Apt,864370,Mick & Heidi,Manhattan,East Village,40.72456732,-73.98452962,Entire home/apt,195,2,52,8/26/2018,21
489365,PRIME LOCATION STYLISH COMFORT,2420670,Carter,Brooklyn,Williamsburg,40.71688945,-73.95706482,Entire home/apt,226,3,169,9/27/2018,139
489924,South Slope Private Bedroom,1027283,Kelly,Brooklyn,Sunset Park,40.66220944,-73.99743062,Private room,50,2,27,9/9/2018,13
489962,Retired Teacher's Upper Westside studio,2422907,Chris,Manhattan,Upper West Side,40.77218126,-73.98165072,Entire home/apt,195,3,145,9/26/2018,229
489965,A Gem in Harlem - Modern Living,2423067,Clara,Manhattan,East Harlem,40.79312858,-73.93492787,Private room,80,3,46,9/15/2018,0
490278,Lovely 1BR - Midtown East by metro!,2424873,Alicia,Manhattan,Midtown,40.75631695,-73.96463567,Entire home/apt,99,14,30,3/2/2018,365
491123,Cozy Love Nest Prospect Heights ,2427868,Ada,Brooklyn,Prospect Heights,40.67369229,-73.96589173,Private room,102,2,107,9/3/2018,338
491942,Renovated Spacious 1BR Upper West,1995093,Carly,Manhattan,Upper West Side,40.79182506,-73.97172064,Entire home/apt,199,3,24,10/9/2016,0
491977,Stylish Large 1bd APT in Chinatown/Tribeca NYC,2431528,Christine,Manhattan,Chinatown,40.71456063,-73.9997788,Entire home/apt,165,5,16,8/5/2018,330
493177,Two Bridges District Chinatown NYC,2436633,Gelya,Manhattan,Chinatown,40.71668295,-73.99072959,Entire home/apt,155,2,128,9/17/2018,284
493611,Huge sunny artist loft +roof garden,1407251,Ute,Brooklyn,Gowanus,40.67862452,-73.98560989,Entire home/apt,385,1,62,8/25/2018,352
494937,HUGE Full Floor loft - SoHo (2 Bedrooms),1527535,Jean-Marie,Manhattan,SoHo,40.7216156,-74.00414104,Entire home/apt,499,2,29,9/26/2018,191
495249,10min Walk & 15mins to Tourist Spot,2446219,Biren,Queens,East Elmhurst,40.75540652,-73.89238979,Private room,85,1,204,9/23/2018,342
497370,Carroll Gardens Carriage House,2455462,Elizabeth (And Jeff Too),Brooklyn,Gowanus,40.67827539,-73.99136181,Private room,80,2,35,5/30/2017,236
498052,"Spacious, modern Apartment",2426779,Regina,Brooklyn,Williamsburg,40.71483498,-73.96216388,Private room,120,1,100,10/1/2018,305
498693,White Box Loft with private room,2461518,Cornelia,Manhattan,Civic Center,40.71642335,-74.00051951,Private room,95,90,216,9/17/2018,319
498859,"NYC 30 min by Subway, Brooklyn 2",2462260,Dimitry,Brooklyn,Brighton Beach,40.58219544,-73.96391544,Entire home/apt,169,4,53,9/25/2018,310
500845,Trendy Nest in the East Village,1336370,Bojan+Margaret,Manhattan,East Village,40.72686469,-73.97969869,Entire home/apt,220,4,142,9/3/2018,339
